en,pt-br,pos,description
ability,habilidade,noun,
accordion,sanfona,noun,"Também ""tipo sanfona"" ou ""sanfonado"", no caso de ""accordion-style"", por ex."
"Action links","Links de ações",noun,
activate,ativar,verb,
Add-on,complemento,noun,
add-on,complemento,noun,
added,adicionado,verb,
Addon,complemento,noun,
addon,complemento,noun,
address,corrige,verb,"Ex. “version x addresses…” – “a versão x corrige…”"
address,endereço,noun,
"Afghan Afghani","Afegane afegão",noun,"Moeda do Afeganistão"
Afghanistan,Afeganistão,noun,país
"Aland Islands","Ilhas Aland",noun,região
Albania,Albânia,noun,país
"Albanian Lek","Lek albanês",noun,"Moeda da Albânia"
Algeria,Argélia,noun,país
"Algerian Dinar","Dinar argelino",noun,"Moeda da Argélia"
"American Samoa","Samoa Americana",noun,região
Andorra,Andorra,noun,país
Angola,Angola,noun,país
"Angolan Kwanza","Kwanza angolano",noun,"Moeda da Angola"
Anguilla,Anguila,noun,região
Antarctica,Antártida,noun,continente
"Antigua and Barbuda","Antígua e Barbuda",noun,país
April,abril,noun,"Mês, sempre escrito com letras minúsculas, com exceção em nomes como Outubro Rosa ou no começo de uma frase. Abreviação: ""abr"""
"are you sure you want","tem certeza de que deseja",expression,
Argentina,Argentina,noun,país
"Argentine Peso","Peso argentino",noun,"Moeda da Argentina"
Armenia,Armênia,noun,país
"Armenian Dram","Dram armênio",noun,"Moeda da Armênia"
array,array,noun,"Termo de programação, não traduzir"
Aruba,Aruba,noun,país
"Aruban Florin","Florim arubano",noun,"Moeda de Aruba"
aside,nota,noun,"Post format - formato de post"
"At a glance",Agora,expression,"Traduzir sempre como ""Agora"" quando se referir ao widget do Painel."
"at the bottom","na parte inferior",expression,
"at the top","na parte superior",expression,
attachment,anexo,noun,
August,agosto,noun,"Mês, sempre escrito com letras minúsculas, com exceção em nomes como Outubro Rosa ou no começo de uma frase. Abreviação: ""ago"""
Australia,Austrália,noun,país
"Australian Dollar","Dólar australiano",noun,"Moeda da Comunidade da Austrália"
Austria,Áustria,noun,país
Azerbaijan,Azerbaijão,noun,país
"Azerbaijani Manat","Manate azerbaijano",noun,"Moeda do Azerbaijão"
backend,painel,noun,"No contexto do WordPress, quando se refere à seção de administração do site"
background,"plano de fundo",noun,"Se for preciso encurtar use apenas ""fundo"""
backup,backup,noun," Masculino"
backup,"fazer backup",verb,
Bahamas,Bahamas,noun,país
"Bahamian Dollar","Dólar bahamense",noun,"Moeda das Bahamas"
Bahrain,Barém,noun,país
"Bahraini Dinar","Dinar bareinita",noun,"Moeda do Barém"
Bangladesh,Bangladesh,noun,país
"Bangladeshi Taka","Taka bengali",noun,"Moeda de Bangladesh"
banner,banner,noun,
